 S11, S22, S33, S12, S23, S31, wp
  2.382927E+001, -1.556153E+002,  0.000000E+000, -6.155686E+001,  4.727585E+000, -6.798997E+000,  3.200621E-001
  2.015827E+001, -1.684926E+002,  0.000000E+000, -5.007679E+001,  5.094583E+000, -7.000373E+000,  3.200697E-001
  1.517466E+001, -1.827953E+002,  0.000000E+000, -3.695687E+001,  5.922072E+000, -7.363601E+000,  3.200623E-001
  7.955700E+000, -1.971007E+002,  0.000000E+000, -2.323383E+001,  7.204076E+000, -8.473065E+000,  3.203039E-001
 -1.969770E+000, -2.113708E+002,  0.000000E+000, -8.856564E+000,  8.931911E+000, -1.036625E+001,  3.202182E-001
 -1.381566E+001, -2.238236E+002,  0.000000E+000,  5.157568E+000,  1.060018E+001, -1.291259E+001,  3.205609E-001
 -2.625282E+001, -2.310995E+002,  0.000000E+000,  1.618198E+001,  1.123139E+001, -1.435592E+001,  3.204269E-001
 -3.757499E+001, -2.337586E+002,  0.000000E+000,  2.343965E+001,  1.044045E+001, -1.520778E+001,  3.205936E-001
 -4.773979E+001, -2.337790E+002,  0.000000E+000,  2.870182E+001,  8.554515E+000, -1.562137E+001,  3.205036E-001
 -5.822896E+001, -2.327697E+002,  0.000000E+000,  3.446123E+001,  6.872534E+000, -1.622611E+001,  3.203243E-001
 -6.844174E+001, -2.313033E+002,  0.000000E+000,  4.040701E+001,  5.525536E+000, -1.697203E+001,  3.201913E-001
 -7.802820E+001, -2.297010E+002,  0.000000E+000,  4.595871E+001,  4.418815E+000, -1.780991E+001,  3.203948E-001
 -8.579714E+001, -2.276240E+002,  0.000000E+000,  5.052548E+001,  4.395460E+000, -1.776765E+001,  3.200060E-001
 -9.268024E+001, -2.256137E+002,  0.000000E+000,  5.435263E+001,  4.992500E+000, -1.745686E+001,  3.202462E-001
 -9.853471E+001, -2.235008E+002,  0.000000E+000,  5.765849E+001,  5.736150E+000, -1.698835E+001,  3.204399E-001
 -1.033412E+002, -2.206966E+002,  0.000000E+000,  6.026841E+001,  6.824816E+000, -1.627253E+001,  3.200477E-001
 -1.070230E+002, -2.169511E+002,  0.000000E+000,  6.265392E+001,  7.820473E+000, -1.545461E+001,  3.200385E-001
  1.131664E+001, -1.285182E+002,  0.000000E+000, -8.069131E+001,  1.115829E+001, -9.516744E+000,  3.203345E-001
 -1.070036E+002, -2.060604E+002,  0.000000E+000,  6.586524E+001,  8.958634E+000, -1.426785E+001,  3.203676E-001
  5.368407E+000, -1.220345E+002,  0.000000E+000, -8.348643E+001,  1.238643E+001, -1.037411E+001,  3.202758E-001
 -1.014156E+002, -1.861650E+002,  0.000000E+000,  7.010043E+001,  1.016225E+001, -1.278221E+001,  3.203680E-001
 -1.162020E+000, -1.145996E+002,  0.000000E+000, -8.634312E+001,  1.352799E+001, -1.134372E+001,  3.204006E-001
 -9.483407E+001, -1.650464E+002,  0.000000E+000,  7.425014E+001,  1.142884E+001, -1.108886E+001,  3.203528E-001
 -8.802530E+000, -1.068454E+002,  0.000000E+000, -8.878343E+001,  1.382755E+001, -1.251671E+001,  3.200465E-001
 -8.727972E+001, -1.423443E+002,  0.000000E+000,  7.833016E+001,  1.266005E+001, -9.051012E+000,  3.202678E-001
 -1.757168E+001, -9.923859E+001,  0.000000E+000, -9.047412E+001,  1.265840E+001, -1.407049E+001,  3.200466E-001
 -7.878746E+001, -1.180022E+002,  0.000000E+000,  8.240694E+001,  1.383072E+001, -6.745354E+000,  3.202422E-001
 -2.696439E+001, -9.104625E+001,  0.000000E+000, -9.209819E+001,  1.136769E+001, -1.575604E+001,  3.203901E-001
 -6.940981E+001, -9.292895E+001,  0.000000E+000,  8.602651E+001,  1.424879E+001, -3.942383E+000,  3.201418E-001
 -2.908318E+001, -7.564686E+001,  0.000000E+000, -9.276061E+001,  8.750648E+000, -1.533519E+001,  3.202925E-001
 -5.810127E+001, -6.705264E+001,  0.000000E+000,  8.871165E+001,  1.282133E+001, -3.879442E-001,  3.203246E-001
  3.293840E+001, -1.390206E+002,  0.000000E+000, -7.661470E+001,  1.044616E+001, -8.849963E+000,  3.201628E-001
  3.808337E+001, -1.441708E+002,  0.000000E+000, -7.349814E+001,  8.728989E+000, -8.372052E+000,  3.200099E-001
  4.300706E+001, -1.503690E+002,  0.000000E+000, -6.901694E+001,  6.840572E+000, -7.777115E+000,  3.200343E-001
  4.590572E+001, -1.590813E+002,  0.000000E+000, -6.235286E+001,  5.244260E+000, -7.198490E+000,  3.204401E-001
  4.379532E+001, -1.698869E+002,  0.000000E+000, -5.309017E+001,  4.934712E+000, -7.707013E+000,  3.201726E-001
  3.564962E+001, -1.828486E+002,  0.000000E+000, -4.082512E+001,  6.908613E+000, -9.821279E+000,  3.203598E-001
  2.654140E+001, -1.963941E+002,  0.000000E+000, -2.765917E+001,  8.946242E+000, -1.205100E+001,  3.205300E-001
  1.651029E+001, -2.103472E+002,  0.000000E+000, -1.371351E+001,  1.089056E+001, -1.437664E+001,  3.202275E-001
  5.538967E+000, -2.217061E+002,  0.000000E+000, -7.606490E-001,  1.257374E+001, -1.612196E+001,  3.202788E-001
 -7.621464E+000, -2.282359E+002,  0.000000E+000,  9.950009E+000,  1.316518E+001, -1.563991E+001,  3.204800E-001
 -2.015496E+001, -2.312776E+002,  0.000000E+000,  1.845667E+001,  1.243512E+001, -1.453571E+001,  3.201883E-001
 -2.823731E+001, -2.320216E+002,  0.000000E+000,  2.397138E+001,  1.019224E+001, -1.491313E+001,  3.206105E-001
 -3.602492E+001, -2.314387E+002,  0.000000E+000,  2.928889E+001,  7.919457E+000, -1.613606E+001,  3.202906E-001
 -4.485780E+001, -2.304503E+002,  0.000000E+000,  3.495346E+001,  6.207731E+000, -1.745075E+001,  3.201505E-001
 -5.411019E+001, -2.289279E+002,  0.000000E+000,  4.048301E+001,  4.534688E+000, -1.825803E+001,  3.201955E-001
 -6.348992E+001, -2.273969E+002,  0.000000E+000,  4.559529E+001,  2.992731E+000, -1.890305E+001,  3.202585E-001
 -7.228706E+001, -2.257915E+002,  0.000000E+000,  5.017572E+001,  2.079038E+000, -1.934332E+001,  3.200942E-001
 -7.953911E+001, -2.234330E+002,  0.000000E+000,  5.384301E+001,  2.512686E+000, -1.911529E+001,  3.202535E-001
 -8.528218E+001, -2.200689E+002,  0.000000E+000,  5.685552E+001,  3.393516E+000, -1.864349E+001,  3.201583E-001
 -8.822583E+001, -2.134625E+002,  0.000000E+000,  5.974974E+001,  4.551558E+000, -1.770568E+001,  3.203142E-001
  2.853319E+001, -1.336419E+002,  0.000000E+000, -7.955283E+001,  1.206313E+001, -9.425922E+000,  3.204380E-001
 -8.336831E+001, -1.960106E+002,  0.000000E+000,  6.371063E+001,  5.598909E+000, -1.650747E+001,  3.203919E-001
  2.361300E+001, -1.272515E+002,  0.000000E+000, -8.244955E+001,  1.336964E+001, -1.016254E+001,  3.205633E-001
 -7.715579E+001, -1.759470E+002,  0.000000E+000,  6.801005E+001,  6.640672E+000, -1.517526E+001,  3.203277E-001
  1.811706E+001, -1.203277E+002,  0.000000E+000, -8.518400E+001,  1.447504E+001, -1.124940E+001,  3.204094E-001
 -7.022046E+001, -1.544436E+002,  0.000000E+000,  7.240277E+001,  7.888858E+000, -1.371052E+001,  3.204927E-001
  1.223062E+001, -1.131195E+002,  0.000000E+000, -8.772674E+001,  1.506877E+001, -1.286587E+001,  3.204291E-001
 -6.214006E+001, -1.315871E+002,  0.000000E+000,  7.661758E+001,  9.232128E+000, -1.194498E+001,  3.204591E-001
  5.622212E+000, -1.057680E+002,  0.000000E+000, -8.971396E+001,  1.452118E+001, -1.492295E+001,  3.203418E-001
 -5.292992E+001, -1.067428E+002,  0.000000E+000,  8.082885E+001,  1.049881E+001, -9.984551E+000,  3.203340E-001
  6.042399E-002, -9.378703E+001,  0.000000E+000, -9.129136E+001,  1.222042E+001, -1.626529E+001,  3.202575E-001
 -4.181310E+001, -8.006520E+001,  0.000000E+000,  8.464068E+001,  1.129535E+001, -7.568511E+000,  3.203824E-001
  5.385953E+000, -6.536038E+001,  0.000000E+000, -9.244449E+001,  6.945527E+000, -1.650708E+001,  3.202579E-001
 -2.950958E+001, -5.340017E+001,  0.000000E+000,  8.749949E+001,  1.017658E+001, -4.176494E+000,  3.203466E-001
  1.370676E+001, -3.602503E+001,  0.000000E+000, -9.273409E+001,  2.135550E+000, -1.518982E+001,  3.204065E-001
 -1.700660E+001, -2.892661E+001,  0.000000E+000,  8.918263E+001,  6.980091E+000,  9.252153E-002,  3.201111E-001
  2.358347E+001, -8.465206E+000,  0.000000E+000, -9.227250E+001, -1.944230E+000, -1.224638E+001,  3.202726E-001
 -4.861293E+000, -4.042955E+000,  0.000000E+000,  9.045863E+001,  3.156501E+000,  4.397066E+000,  3.205234E-001
  3.494911E+001,  1.732065E+001,  0.000000E+000, -9.128161E+001, -5.730908E+000, -8.211697E+000,  3.202886E-001
  7.062786E+000,  2.172467E+001,  0.000000E+000,  9.148227E+001, -6.350052E-001,  8.634166E+000,  3.204354E-001
  4.644000E+001,  4.252939E+001,  0.000000E+000, -9.017798E+001, -9.437773E+000, -3.914628E+000,  3.201832E-001
  1.877477E+001,  4.790425E+001,  0.000000E+000,  9.233741E+001, -4.477589E+000,  1.249926E+001,  3.204626E-001
  4.538228E+001, -1.427104E+002,  0.000000E+000, -7.418798E+001,  9.615325E+000, -8.233809E+000,  3.204780E-001
  5.118905E+001, -1.481758E+002,  0.000000E+000, -7.117009E+001,  8.149993E+000, -7.766891E+000,  3.203253E-001
  5.677523E+001, -1.539838E+002,  0.000000E+000, -6.734706E+001,  6.645456E+000, -7.373472E+000,  3.200223E-001
  5.858318E+001, -1.598610E+002,  0.000000E+000, -6.278170E+001,  5.496784E+000, -8.121474E+000,  3.204348E-001
  5.502482E+001, -1.681267E+002,  0.000000E+000, -5.564881E+001,  5.424825E+000, -9.924312E+000,  3.204643E-001
  4.778296E+001, -1.803942E+002,  0.000000E+000, -4.428346E+001,  7.287257E+000, -1.211447E+001,  3.200738E-001
  3.963261E+001, -1.939109E+002,  0.000000E+000, -3.160497E+001,  9.599775E+000, -1.451802E+001,  3.202288E-001
  3.049109E+001, -2.079408E+002,  0.000000E+000, -1.832592E+001,  1.217855E+001, -1.711235E+001,  3.202039E-001
  1.995524E+001, -2.189255E+002,  0.000000E+000, -6.348155E+000,  1.440177E+001, -1.856464E+001,  3.204835E-001
  7.224701E+000, -2.243439E+002,  0.000000E+000,  3.397075E+000,  1.469232E+001, -1.708197E+001,  3.205490E-001
 -4.822499E+000, -2.280153E+002,  0.000000E+000,  1.281327E+001,  1.433875E+001, -1.480611E+001,  3.202596E-001
 -1.525323E+001, -2.298958E+002,  0.000000E+000,  2.041478E+001,  1.312995E+001, -1.366668E+001,  3.201535E-001
 -2.115208E+001, -2.292914E+002,  0.000000E+000,  2.563360E+001,  1.036839E+001, -1.451046E+001,  3.203976E-001
 -2.666136E+001, -2.280744E+002,  0.000000E+000,  3.031776E+001,  7.480084E+000, -1.583043E+001,  3.200500E-001
 -3.372029E+001, -2.269575E+002,  0.000000E+000,  3.520039E+001,  5.048611E+000, -1.718467E+001,  3.201548E-001
 -4.207392E+001, -2.258605E+002,  0.000000E+000,  4.014770E+001,  3.107602E+000, -1.864900E+001,  3.204082E-001
 -5.049182E+001, -2.243618E+002,  0.000000E+000,  4.495069E+001,  1.333180E+000, -1.987934E+001,  3.201409E-001
 -5.925258E+001, -2.221454E+002,  0.000000E+000,  4.930508E+001,  2.167220E-001, -2.056971E+001,  3.205767E-001
 -6.611622E+001, -2.181785E+002,  0.000000E+000,  5.296400E+001,  2.599543E-001, -2.034969E+001,  3.205565E-001
 -6.615461E+001, -2.045147E+002,  0.000000E+000,  5.720629E+001,  1.262372E+000, -1.930586E+001,  3.203490E-001
  4.118563E+001, -1.374305E+002,  0.000000E+000, -7.670014E+001,  1.083747E+001, -8.430320E+000,  3.204268E-001
 -6.015949E+001, -1.858053E+002,  0.000000E+000,  6.135506E+001,  1.979090E+000, -1.838735E+001,  3.201596E-001
  3.654220E+001, -1.313281E+002,  0.000000E+000, -7.944255E+001,  1.217941E+001, -8.753109E+000,  3.202239E-001
 -5.335938E+001, -1.655906E+002,  0.000000E+000,  6.563639E+001,  2.908705E+000, -1.727612E+001,  3.201480E-001
  3.146812E+001, -1.245054E+002,  0.000000E+000, -8.224272E+001,  1.355650E+001, -9.368082E+000,  3.202573E-001
 -4.580895E+001, -1.438248E+002,  0.000000E+000,  7.007507E+001,  3.976154E+000, -1.602981E+001,  3.201678E-001
  2.636959E+001, -1.170797E+002,  0.000000E+000, -8.504941E+001,  1.476377E+001, -1.041457E+001,  3.202706E-001
 -3.711708E+001, -1.203102E+002,  0.000000E+000,  7.456524E+001,  5.322614E+000, -1.456096E+001,  3.200177E-001
  2.455413E+001, -1.070177E+002,  0.000000E+000, -8.758937E+001,  1.421323E+001, -1.264671E+001,  3.201283E-001
 -2.657100E+001, -9.454494E+001,  0.000000E+000,  7.889008E+001,  6.880799E+000, -1.265891E+001,  3.204441E-001
  3.288536E+001, -8.542395E+001,  0.000000E+000, -8.983131E+001,  1.067087E+001, -1.536988E+001,  3.204562E-001
 -1.416449E+001, -6.656756E+001,  0.000000E+000,  8.302615E+001,  8.124959E+000, -1.069058E+001,  3.201549E-001
  4.094701E+001, -5.655663E+001,  0.000000E+000, -9.127205E+001,  5.767636E+000, -1.607521E+001,  3.202832E-001
 -8.782112E-001, -3.944159E+001,  0.000000E+000,  8.611735E+001,  7.522426E+000, -7.950829E+000,  3.202202E-001
  4.767844E+001, -2.625179E+001,  0.000000E+000, -9.225646E+001,  4.465017E-001, -1.620406E+001,  3.202030E-001
  1.214067E+001, -1.476737E+001,  0.000000E+000,  8.796270E+001,  4.560798E+000, -3.825988E+000,  3.201227E-001
  5.566076E+001,  2.710207E+000,  0.000000E+000, -9.248977E+001, -4.137381E+000, -1.478948E+001,  3.203242E-001
  2.513570E+001,  9.488802E+000,  0.000000E+000,  8.935898E+001,  7.505404E-001,  5.599361E-001,  3.204915E-001
  6.522039E+001,  2.999579E+001,  0.000000E+000, -9.198411E+001, -8.182910E+000, -1.176915E+001,  3.200095E-001
  3.768887E+001,  3.492219E+001,  0.000000E+000,  9.057983E+001, -3.193615E+000,  4.754933E+000,  3.202877E-001
  7.613061E+001,  5.540484E+001,  0.000000E+000, -9.094263E+001, -1.201120E+001, -7.650950E+000,  3.201080E-001
  4.986808E+001,  6.088016E+001,  0.000000E+000,  9.153428E+001, -7.053270E+000,  8.902552E+000,  3.202180E-001
  8.697277E+001,  8.007434E+001,  0.000000E+000, -8.966901E+001, -1.567348E+001, -3.374383E+000,  3.201995E-001
  5.420507E+001,  7.863915E+001,  0.000000E+000,  9.195812E+001, -9.500561E+000,  1.188098E+001,  3.204242E-001
  9.592695E+001,  1.042996E+002,  0.000000E+000, -8.716462E+001, -1.733867E+001,  3.335735E-001,  3.204768E-001
  4.759181E+001,  8.582369E+001,  0.000000E+000,  9.154970E+001, -1.013246E+001,  1.291225E+001,  3.204893E-001
  1.043827E+002,  1.288475E+002,  0.000000E+000, -8.366439E+001, -1.714549E+001,  3.219010E+000,  3.201454E-001
  3.997518E+001,  9.296768E+001,  0.000000E+000,  9.071218E+001, -1.107438E+001,  1.309763E+001,  3.202278E-001
  1.121468E+002,  1.528734E+002,  0.000000E+000, -7.964445E+001, -1.602479E+001,  5.804227E+000,  3.200157E-001
  3.083881E+001,  1.004271E+002,  0.000000E+000,  8.920185E+001, -1.220981E+001,  1.183131E+001,  3.204177E-001
  5.563543E+001, -1.452134E+002,  0.000000E+000, -7.139192E+001,  8.311375E+000, -7.053330E+000,  3.206625E-001
  6.078934E+001, -1.501802E+002,  0.000000E+000, -6.854362E+001,  6.869992E+000, -6.741007E+000,  3.203045E-001
  6.330988E+001, -1.545762E+002,  0.000000E+000, -6.583707E+001,  5.619069E+000, -7.454236E+000,  3.206370E-001
  6.324580E+001, -1.587358E+002,  0.000000E+000, -6.265128E+001,  4.654351E+000, -9.122974E+000,  3.204078E-001
  6.112606E+001, -1.659035E+002,  0.000000E+000, -5.678350E+001,  4.475175E+000, -1.100068E+001,  3.203918E-001
  5.575730E+001, -1.774498E+002,  0.000000E+000, -4.674440E+001,  6.501307E+000, -1.341774E+001,  3.203955E-001
  4.880910E+001, -1.906919E+002,  0.000000E+000, -3.505817E+001,  9.462587E+000, -1.613872E+001,  3.204260E-001
  4.126940E+001, -2.045377E+002,  0.000000E+000, -2.248085E+001,  1.267877E+001, -1.912025E+001,  3.202995E-001
  3.207186E+001, -2.152673E+002,  0.000000E+000, -1.130032E+001,  1.524658E+001, -2.028920E+001,  3.201407E-001
