 S11, S22, S33, S12, S23, S31, wp
 -1.101092E+002, -2.466263E+002,  0.000000E+000, -1.223451E+002, -3.685899E-001,  1.454856E+000,  5.105365E-001
 -1.148076E+002, -2.569722E+002,  0.000000E+000, -1.164834E+002, -5.451789E-001,  8.108014E-001,  5.102699E-001
 -1.200479E+002, -2.673259E+002,  0.000000E+000, -1.094193E+002, -6.433330E-001, -2.281258E-002,  5.107772E-001
 -1.263423E+002, -2.778730E+002,  0.000000E+000, -9.969485E+001, -7.495387E-001, -6.156223E-001,  5.101585E-001
 -1.329646E+002, -2.887202E+002,  0.000000E+000, -8.775886E+001, -7.293043E-001, -1.272816E+000,  5.106054E-001
 -1.389265E+002, -2.990730E+002,  0.000000E+000, -7.389929E+001, -5.902034E-001, -1.822902E+000,  5.101710E-001
 -1.447844E+002, -3.089124E+002,  0.000000E+000, -5.844987E+001, -6.395675E-001, -2.468281E+000,  5.106122E-001
 -1.493545E+002, -3.171419E+002,  0.000000E+000, -4.175317E+001, -5.132551E-001, -3.148438E+000,  5.101829E-001
 -1.514306E+002, -3.223457E+002,  0.000000E+000, -2.486054E+001, -3.571951E-001, -3.672928E+000,  5.100131E-001
 -1.517243E+002, -3.245580E+002,  0.000000E+000, -7.957231E+000, -5.479745E-001, -3.847517E+000,  5.103386E-001
 -1.501937E+002, -3.238205E+002,  0.000000E+000,  8.924011E+000, -8.586226E-001, -2.733284E+000,  5.107227E-001
 -1.469011E+002, -3.205772E+002,  0.000000E+000,  2.528452E+001, -1.428473E+000, -1.191343E+000,  5.100393E-001
 -1.422582E+002, -3.153281E+002,  0.000000E+000,  4.125006E+001, -2.066494E+000,  1.975872E-001,  5.105296E-001
 -1.367078E+002, -3.083893E+002,  0.000000E+000,  5.664537E+001, -2.340140E+000,  1.354471E+000,  5.106291E-001
 -1.297831E+002, -2.989130E+002,  0.000000E+000,  7.159536E+001, -2.213772E+000,  2.079616E+000,  5.106692E-001
 -1.221336E+002, -2.880207E+002,  0.000000E+000,  8.529588E+001, -2.219896E+000,  2.395408E+000,  5.105024E-001
 -1.146159E+002, -2.758973E+002,  0.000000E+000,  9.735699E+001, -2.065673E+000,  2.741241E+000,  5.105636E-001
 -1.075492E+002, -2.636236E+002,  0.000000E+000,  1.073529E+002, -1.967896E+000,  2.863352E+000,  5.100022E-001
 -1.013236E+002, -2.519324E+002,  0.000000E+000,  1.155227E+002, -1.724047E+000,  2.998535E+000,  5.107932E-001
 -9.561845E+001, -2.409774E+002,  0.000000E+000,  1.224138E+002, -1.517358E+000,  3.139083E+000,  5.100715E-001
 -8.419583E+001, -2.450093E+002,  0.000000E+000, -1.232594E+002, -4.809968E-001,  1.862817E+000,  5.101754E-001
 -8.676063E+001, -2.550376E+002,  0.000000E+000, -1.174821E+002, -6.787383E-001,  1.279026E+000,  5.103939E-001
 -8.940172E+001, -2.648256E+002,  0.000000E+000, -1.107000E+002, -7.704666E-001,  4.335048E-001,  5.101343E-001
 -9.234460E+001, -2.751147E+002,  0.000000E+000, -1.015150E+002, -7.734080E-001, -4.770827E-001,  5.100164E-001
 -9.600289E+001, -2.858822E+002,  0.000000E+000, -8.949522E+001, -7.053867E-001, -1.080785E+000,  5.100343E-001
 -9.994234E+001, -2.964519E+002,  0.000000E+000, -7.561642E+001, -4.295279E-001, -1.708293E+000,  5.105365E-001
 -1.031793E+002, -3.063687E+002,  0.000000E+000, -5.964457E+001, -6.164673E-001, -2.308066E+000,  5.101349E-001
 -1.058530E+002, -3.146557E+002,  0.000000E+000, -4.248356E+001, -6.797027E-001, -3.001887E+000,  5.103697E-001
 -1.073603E+002, -3.203096E+002,  0.000000E+000, -2.490375E+001, -3.914071E-001, -3.518304E+000,  5.100031E-001
 -1.073375E+002, -3.226197E+002,  0.000000E+000, -7.609636E+000, -3.916417E-001, -3.682301E+000,  5.105290E-001
 -1.061578E+002, -3.220368E+002,  0.000000E+000,  9.916872E+000, -6.937495E-001, -2.578856E+000,  5.101482E-001
 -1.035106E+002, -3.189112E+002,  0.000000E+000,  2.678110E+001, -1.213224E+000, -9.323786E-001,  5.100572E-001
 -9.980125E+001, -3.134582E+002,  0.000000E+000,  4.325251E+001, -1.814587E+000,  5.403355E-001,  5.100231E-001
 -9.551417E+001, -3.065491E+002,  0.000000E+000,  5.898549E+001, -2.145091E+000,  1.770821E+000,  5.101099E-001
 -9.084208E+001, -2.975403E+002,  0.000000E+000,  7.433942E+001, -2.107240E+000,  2.563813E+000,  5.104398E-001
 -8.602590E+001, -2.866124E+002,  0.000000E+000,  8.823551E+001, -2.122736E+000,  2.871520E+000,  5.107573E-001
 -8.102084E+001, -2.744096E+002,  0.000000E+000,  9.993635E+001, -2.055657E+000,  3.216424E+000,  5.100674E-001
 -7.681026E+001, -2.623395E+002,  0.000000E+000,  1.094829E+002, -1.970017E+000,  3.400410E+000,  5.102217E-001
 -7.295775E+001, -2.507005E+002,  0.000000E+000,  1.177348E+002, -1.740472E+000,  3.479887E+000,  5.101845E-001
 -6.929372E+001, -2.397992E+002,  0.000000E+000,  1.247669E+002, -1.539295E+000,  3.565026E+000,  5.102541E-001
 -8.585811E+001, -2.345586E+002,  0.000000E+000, -1.285325E+002, -2.114869E-001,  2.309322E+000,  5.104140E-001
 -6.974738E+001, -2.285908E+002,  0.000000E+000,  1.307500E+002, -1.181803E+000,  3.553961E+000,  5.102014E-001
 -8.688074E+001, -2.218319E+002,  0.000000E+000, -1.338047E+002, -1.403335E-001,  2.711064E+000,  5.103157E-001
 -6.982192E+001, -2.147654E+002,  0.000000E+000,  1.368600E+002, -5.549918E-001,  3.540419E+000,  5.102382E-001
 -8.762655E+001, -2.066166E+002,  0.000000E+000, -1.391983E+002, -2.818632E-001,  3.157222E+000,  5.106175E-001
 -6.992495E+001, -1.991616E+002,  0.000000E+000,  1.426104E+002,  2.655457E-001,  3.219646E+000,  5.104026E-001
 -5.618198E+001, -2.429964E+002,  0.000000E+000, -1.232961E+002, -5.979295E-001,  2.308252E+000,  5.103583E-001
 -5.611056E+001, -2.525626E+002,  0.000000E+000, -1.175609E+002, -8.703317E-001,  1.777447E+000,  5.102557E-001
 -5.613310E+001, -2.621259E+002,  0.000000E+000, -1.106937E+002, -9.749981E-001,  9.742388E-001,  5.107625E-001
 -5.640608E+001, -2.720958E+002,  0.000000E+000, -1.019584E+002, -9.836170E-001, -1.476321E-002,  5.106073E-001
 -5.714715E+001, -2.826641E+002,  0.000000E+000, -9.032912E+001, -7.749630E-001, -9.335846E-001,  5.102911E-001
 -5.805818E+001, -2.931333E+002,  0.000000E+000, -7.633324E+001, -4.800760E-001, -1.504883E+000,  5.105192E-001
 -5.955285E+001, -3.031537E+002,  0.000000E+000, -6.031376E+001, -6.114401E-001, -2.174266E+000,  5.103342E-001
 -6.075733E+001, -3.115485E+002,  0.000000E+000, -4.301189E+001, -8.548863E-001, -2.841900E+000,  5.100939E-001
 -6.173037E+001, -3.176671E+002,  0.000000E+000, -2.497422E+001, -5.272107E-001, -3.360157E+000,  5.103293E-001
 -6.137035E+001, -3.201419E+002,  0.000000E+000, -7.261882E+000, -2.133753E-001, -3.372208E+000,  5.104829E-001
 -6.030853E+001, -3.197377E+002,  0.000000E+000,  1.071467E+001, -4.542764E-001, -2.340742E+000,  5.102170E-001
 -5.839428E+001, -3.168189E+002,  0.000000E+000,  2.826857E+001, -1.019578E+000, -6.411778E-001,  5.106045E-001
 -5.556259E+001, -3.112740E+002,  0.000000E+000,  4.505396E+001, -1.595529E+000,  9.506350E-001,  5.105150E-001
 -5.252819E+001, -3.042795E+002,  0.000000E+000,  6.106957E+001, -1.796026E+000,  2.154594E+000,  5.103086E-001
 -4.973543E+001, -2.954075E+002,  0.000000E+000,  7.620134E+001, -1.884591E+000,  3.155984E+000,  5.103249E-001
 -4.748451E+001, -2.845560E+002,  0.000000E+000,  8.986212E+001, -1.925179E+000,  3.572736E+000,  5.101382E-001
 -4.580845E+001, -2.727577E+002,  0.000000E+000,  1.014407E+002, -2.015110E+000,  3.867039E+000,  5.103759E-001
 -4.411440E+001, -2.607880E+002,  0.000000E+000,  1.110305E+002, -1.894172E+000,  4.055559E+000,  5.102793E-001
 -4.213927E+001, -2.491177E+002,  0.000000E+000,  1.192980E+002, -1.701567E+000,  4.054174E+000,  5.102747E-001
 -4.049400E+001, -2.383061E+002,  0.000000E+000,  1.262018E+002, -1.518189E+000,  4.017620E+000,  5.100102E-001
 -5.743853E+001, -2.324421E+002,  0.000000E+000, -1.286206E+002, -2.629759E-001,  2.683618E+000,  5.102744E-001
 -4.068709E+001, -2.272173E+002,  0.000000E+000,  1.323049E+002, -1.283831E+000,  3.968098E+000,  5.107539E-001
 -5.824364E+001, -2.195712E+002,  0.000000E+000, -1.340017E+002, -9.010039E-002,  3.035098E+000,  5.105644E-001
 -4.089246E+001, -2.135627E+002,  0.000000E+000,  1.385641E+002, -7.540948E-001,  3.882878E+000,  5.103604E-001
 -5.887928E+001, -2.048718E+002,  0.000000E+000, -1.393891E+002, -3.021618E-001,  3.348925E+000,  5.101188E-001
 -4.064278E+001, -1.979097E+002,  0.000000E+000,  1.444815E+002,  1.945355E-001,  3.489548E+000,  5.104051E-001
 -5.896358E+001, -1.861051E+002,  0.000000E+000, -1.448876E+002, -5.051671E-001,  3.467273E+000,  5.103863E-001
 -4.009251E+001, -1.802515E+002,  0.000000E+000,  1.499557E+002,  1.430746E+000,  2.899871E+000,  5.106010E-001
 -5.825236E+001, -1.640649E+002,  0.000000E+000, -1.502600E+002, -5.740906E-001,  3.582466E+000,  5.107747E-001
 -3.923545E+001, -1.596360E+002,  0.000000E+000,  1.548644E+002,  2.821973E+000,  2.237554E+000,  5.101914E-001
 -5.482696E+001, -1.357558E+002,  0.000000E+000, -1.554258E+002, -9.198895E-001,  3.780072E+000,  5.101776E-001
 -3.730501E+001, -1.354420E+002,  0.000000E+000,  1.592669E+002,  3.804166E+000,  1.616003E+000,  5.107192E-001
 -4.866414E+001, -1.021099E+002,  0.000000E+000, -1.601919E+002, -1.647406E+000,  3.494816E+000,  5.105329E-001
 -3.346162E+001, -1.070472E+002,  0.000000E+000,  1.628013E+002,  3.979389E+000,  1.342541E+000,  5.102729E-001
 -2.718852E+001, -2.405892E+002,  0.000000E+000, -1.220436E+002, -7.067182E-001,  2.678300E+000,  5.107954E-001
 -2.497710E+001, -2.497776E+002,  0.000000E+000, -1.165554E+002, -1.022801E+000,  2.150349E+000,  5.108116E-001
 -2.246742E+001, -2.592391E+002,  0.000000E+000, -1.098354E+002, -1.190224E+000,  1.409778E+000,  5.105398E-001
 -1.937719E+001, -2.688443E+002,  0.000000E+000, -1.013337E+002, -1.177530E+000,  5.435028E-001,  5.102605E-001
 -1.708484E+001, -2.791351E+002,  0.000000E+000, -8.998822E+001, -9.205507E-001, -5.289522E-001,  5.107208E-001
 -1.562245E+001, -2.893366E+002,  0.000000E+000, -7.637115E+001, -6.034426E-001, -1.367912E+000,  5.101463E-001
 -1.490368E+001, -2.991713E+002,  0.000000E+000, -6.065191E+001, -7.683299E-001, -2.016401E+000,  5.104213E-001
