 S11, S22, S33, S12, S23, S31, wp
  3.604394E+001, -2.045468E+002,  0.000000E+000,  1.016588E+002,  1.910708E-002,  3.746882E-001,  5.002151E-001
  4.289125E+001, -1.884935E+002,  0.000000E+000, -1.061073E+002,  7.109940E-001, -8.435156E-001,  5.004890E-001
  4.142644E+001, -1.871923E+002,  0.000000E+000,  1.065112E+002, -9.148271E-004,  4.248770E-001,  5.005998E-001
  5.002246E+001, -1.677292E+002,  0.000000E+000, -1.108850E+002,  5.255163E-001, -7.596891E-001,  5.005421E-001
  4.924261E+001, -1.652740E+002,  0.000000E+000,  1.117860E+002,  4.467829E-002,  5.143979E-001,  5.001567E-001
  6.213041E+001, -1.391820E+002,  0.000000E+000, -1.159230E+002,  2.789975E-001, -5.207413E-001,  5.003654E-001
  6.127185E+001, -1.367534E+002,  0.000000E+000,  1.172796E+002,  1.403698E-001,  5.939074E-001,  5.007622E-001
  7.492967E+001, -1.082663E+002,  0.000000E+000, -1.207470E+002,  6.267619E-002, -3.223145E-001,  5.000850E-001
  7.396871E+001, -1.057303E+002,  0.000000E+000,  1.226170E+002,  3.746458E-001,  5.851635E-001,  5.002956E-001
  8.753273E+001, -7.596882E+001,  0.000000E+000, -1.251991E+002, -1.831079E-001, -4.284345E-001,  5.004612E-001
  8.647529E+001, -7.330256E+001,  0.000000E+000,  1.275929E+002,  6.262269E-001,  7.065118E-001,  5.004975E-001
  9.985442E+001, -4.207165E+001,  0.000000E+000, -1.293807E+002, -6.032401E-001, -5.673910E-001,  5.006478E-001
  9.905332E+001, -3.956084E+001,  0.000000E+000,  1.320353E+002,  1.016096E+000,  9.413142E-001,  5.003952E-001
  1.121999E+002, -7.084102E+000,  0.000000E+000, -1.328752E+002, -1.291367E+000, -6.493340E-001,  5.000798E-001
  1.124593E+002, -5.693637E+000,  0.000000E+000,  1.352959E+002,  1.331715E+000,  1.107739E+000,  5.004469E-001
  1.248850E+002,  2.842742E+001,  0.000000E+000, -1.355088E+002, -1.911267E+000, -8.953149E-001,  5.006591E-001
